"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2015,1005794239.30714,12034832080.6341,119387688.97028,10909650152.3567,"dalys_monetized_1","Relative_All AL disp",3
2016,1109842449.37068,19312662246.6961,98020185.9664466,18104799611.359,"dalys_monetized_1","Relative_All AL disp",3
2017,1607307043.65986,22053780446.2972,94359045.5684168,20352114357.069,"dalys_monetized_1","Relative_All AL disp",3
2018,1583862330.14966,25876328239.0659,80654851.9945019,24211811056.9218,"dalys_monetized_1","Relative_All AL disp",3
2019,1486393666.8369,27861905000.0971,84146233.3138799,26291365099.9464,"dalys_monetized_1","Relative_All AL disp",3
2020,2765575666.97589,35407567859.9332,97630142.335856,32544362050.6214,"dalys_monetized_1","Relative_All AL disp",3
2021,2514811417.75229,46250654051.3714,90669963.93291,43645172669.6861,"dalys_monetized_1","Relative_All AL disp",3
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",3
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",4
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",4
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",4
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",4
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",4
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",4
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",4
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",4
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",4
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",4
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",4
2011,1358992680.20983,0,114140481.986052,-1473133162.19588,"dalys_monetized_1","Relative_All AL disp",4
2012,1173075801.04989,2968803660.27264,90994414.2238533,1704733444.9989,"dalys_monetized_1","Relative_All AL disp",4
2013,852504573.376153,3315568107.58188,94857613.7222628,2368205920.48346,"dalys_monetized_1","Relative_All AL disp",4
2014,1102177889.2054,15035807103.5172,111352327.276237,13822276887.0355,"dalys_monetized_1","Relative_All AL disp",4
2015,1273095697.06514,12034832080.6341,119387688.97028,10642348694.5987,"dalys_monetized_1","Relative_All AL disp",4
2016,1260248111.62888,19312662246.6961,98020185.9664466,17954393949.1008,"dalys_monetized_1","Relative_All AL disp",4
2017,1819865926.7944,22053780446.2972,94359045.5684168,20139555473.9344,"dalys_monetized_1","Relative_All AL disp",4
2018,1407441153.90521,25876328239.0659,80654851.9945019,24388232233.1662,"dalys_monetized_1","Relative_All AL disp",4
2019,1423826416.66537,27861905000.0971,84146233.3138799,26353932350.1179,"dalys_monetized_1","Relative_All AL disp",4
2020,2730132084.03866,35407567859.9332,97630142.335856,32579805633.5587,"dalys_monetized_1","Relative_All AL disp",4
2021,2462559767.74344,46250654051.3714,90669963.93291,43697424319.695,"dalys_monetized_1","Relative_All AL disp",4
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",4
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",5
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",5
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",5
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",5
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",5
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",5
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",5
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",5
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",5
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",5
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",5
2011,1106469407.57075,0,114140481.986052,-1220609889.55681,"dalys_monetized_1","Relative_All AL disp",5
2012,1520340297.56567,2968803660.27264,90994414.2238533,1357468948.48311,"dalys_monetized_1","Relative_All AL disp",5
2013,811411072.702663,3315568107.58188,94857613.7222628,2409299421.15695,"dalys_monetized_1","Relative_All AL disp",5
2014,1150261152.07911,15035807103.5172,111352327.276237,13774193624.1618,"dalys_monetized_1","Relative_All AL disp",5
2015,1245140722.84075,12034832080.6341,119387688.97028,10670303668.8231,"dalys_monetized_1","Relative_All AL disp",5
2016,1015940420.70659,19312662246.6961,98020185.9664466,18198701640.0231,"dalys_monetized_1","Relative_All AL disp",5
2017,1900524364.81878,22053780446.2972,94359045.5684168,20058897035.91,"dalys_monetized_1","Relative_All AL disp",5
2018,1372294958.79343,25876328239.0659,80654851.9945019,24423378428.278,"dalys_monetized_1","Relative_All AL disp",5
2019,1528916386.45935,27861905000.0971,84146233.3138799,26248842380.3239,"dalys_monetized_1","Relative_All AL disp",5
2020,2256888648.92245,35407567859.9332,97630142.335856,33053049068.6749,"dalys_monetized_1","Relative_All AL disp",5
2021,2254944546.69807,46250654051.3714,90669963.93291,43905039540.7404,"dalys_monetized_1","Relative_All AL disp",5
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",5
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",6
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",6
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",6
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",6
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",6
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",6
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",6
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",6
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",6
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",6
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",6
2011,1289974128.03457,0,114140481.986052,-1404114610.02062,"dalys_monetized_1","Relative_All AL disp",6
2012,1330574863.14736,2968803660.27264,90994414.2238533,1547234382.90143,"dalys_monetized_1","Relative_All AL disp",6
2013,735611820.751511,3315568107.58188,94857613.7222628,2485098673.1081,"dalys_monetized_1","Relative_All AL disp",6
2014,1275464818.30679,15035807103.5172,111352327.276237,13648989957.9341,"dalys_monetized_1","Relative_All AL disp",6
2015,1148746176.37949,12034832080.6341,119387688.97028,10766698215.2843,"dalys_monetized_1","Relative_All AL disp",6
2016,1017276043.92982,19312662246.6961,98020185.9664466,18197366016.7998,"dalys_monetized_1","Relative_All AL disp",6
2017,2169938038.37576,22053780446.2972,94359045.5684168,19789483362.3531,"dalys_monetized_1","Relative_All AL disp",6
2018,1709292861.24558,25876328239.0659,80654851.9945019,24086380525.8259,"dalys_monetized_1","Relative_All AL disp",6
2019,2053261553.77428,27861905000.0971,84146233.3138799,25724497213.009,"dalys_monetized_1","Relative_All AL disp",6
2020,2048406349.84851,35407567859.9332,97630142.335856,33261531367.7488,"dalys_monetized_1","Relative_All AL disp",6
2021,2870074669.38929,46250654051.3714,90669963.93291,43289909418.0492,"dalys_monetized_1","Relative_All AL disp",6
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",6
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",7
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",7
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",7
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",7
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",7
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",7
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",7
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",7
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",7
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",7
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",7
2011,1564515189.43909,0,114140481.986052,-1678655671.42514,"dalys_monetized_1","Relative_All AL disp",7
2012,1477475376.6423,2968803660.27264,90994414.2238533,1400333869.40649,"dalys_monetized_1","Relative_All AL disp",7
2013,909487239.47949,3315568107.58188,94857613.7222628,2311223254.38013,"dalys_monetized_1","Relative_All AL disp",7
2014,1274288592.36305,15035807103.5172,111352327.276237,13650166183.8779,"dalys_monetized_1","Relative_All AL disp",7
2015,1057899170.27768,12034832080.6341,119387688.97028,10857545221.3862,"dalys_monetized_1","Relative_All AL disp",7
2016,1175639060.56664,19312662246.6961,98020185.9664466,18039003000.163,"dalys_monetized_1","Relative_All AL disp",7
2017,1687755311.17579,22053780446.2972,94359045.5684168,20271666089.553,"dalys_monetized_1","Relative_All AL disp",7
2018,1690232932.64871,25876328239.0659,80654851.9945019,24105440454.4227,"dalys_monetized_1","Relative_All AL disp",7
2019,1598552356.40509,27861905000.0971,84146233.3138799,26179206410.3782,"dalys_monetized_1","Relative_All AL disp",7
2020,2304452323.49081,35407567859.9332,97630142.335856,33005485394.1065,"dalys_monetized_1","Relative_All AL disp",7
2021,2262212022.5699,46250654051.3714,90669963.93291,43897772064.8685,"dalys_monetized_1","Relative_All AL disp",7
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",7
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",8
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",8
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",8
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",8
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",8
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",8
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",8
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",8
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",8
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",8
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",8
2011,1252989495.31045,0,114140481.986052,-1367129977.2965,"dalys_monetized_1","Relative_All AL disp",8
2012,1022105709.2034,2968803660.27264,90994414.2238533,1855703536.84539,"dalys_monetized_1","Relative_All AL disp",8
2013,912253946.850961,3315568107.58188,94857613.7222628,2308456547.00865,"dalys_monetized_1","Relative_All AL disp",8
2014,1173976295.26343,15035807103.5172,111352327.276237,13750478480.9775,"dalys_monetized_1","Relative_All AL disp",8
2015,1127170348.25715,12034832080.6341,119387688.97028,10788274043.4067,"dalys_monetized_1","Relative_All AL disp",8
2016,1266056657.31938,19312662246.6961,98020185.9664466,17948585403.4103,"dalys_monetized_1","Relative_All AL disp",8
2017,1661166363.49426,22053780446.2972,94359045.5684168,20298255037.2346,"dalys_monetized_1","Relative_All AL disp",8
2018,1342286469.79852,25876328239.0659,80654851.9945019,24453386917.2729,"dalys_monetized_1","Relative_All AL disp",8
2019,1435360155.31974,27861905000.0971,84146233.3138799,26342398611.4635,"dalys_monetized_1","Relative_All AL disp",8
2020,2077844917.94098,35407567859.9332,97630142.335856,33232092799.6564,"dalys_monetized_1","Relative_All AL disp",8
2021,2245077965.92597,46250654051.3714,90669963.93291,43914906121.5125,"dalys_monetized_1","Relative_All AL disp",8
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",8
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",9
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",9
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",9
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",9
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",9
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",9
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",9
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",9
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",9
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",9
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",9
2011,1417507658.89883,0,114140481.986052,-1531648140.88488,"dalys_monetized_1","Relative_All AL disp",9
2012,1558551974.78402,2968803660.27264,90994414.2238533,1319257271.26476,"dalys_monetized_1","Relative_All AL disp",9
2013,946501886.979856,3315568107.58188,94857613.7222628,2274208606.87976,"dalys_monetized_1","Relative_All AL disp",9
2014,1348146238.33916,15035807103.5172,111352327.276237,13576308537.9018,"dalys_monetized_1","Relative_All AL disp",9
2015,1114373002.10566,12034832080.6341,119387688.97028,10801071389.5582,"dalys_monetized_1","Relative_All AL disp",9
2016,1135768017.62036,19312662246.6961,98020185.9664466,18078874043.1093,"dalys_monetized_1","Relative_All AL disp",9
2017,1627144279.8199,22053780446.2972,94359045.5684168,20332277120.9089,"dalys_monetized_1","Relative_All AL disp",9
2018,1547731911.83524,25876328239.0659,80654851.9945019,24247941475.2362,"dalys_monetized_1","Relative_All AL disp",9
2019,1521657028.544,27861905000.0971,84146233.3138799,26256101738.2393,"dalys_monetized_1","Relative_All AL disp",9
2020,2995401100.30509,35407567859.9332,97630142.335856,32314536617.2923,"dalys_monetized_1","Relative_All AL disp",9
2021,2742995593.9446,46250654051.3714,90669963.93291,43416988493.4938,"dalys_monetized_1","Relative_All AL disp",9
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",9
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",10
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",10
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",10
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",10
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",10
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",10
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",10
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",10
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",10
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",10
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",10
2011,1252337657.32149,0,114140481.986052,-1366478139.30755,"dalys_monetized_1","Relative_All AL disp",10
2012,1344457442.58576,2968803660.27264,90994414.2238533,1533351803.46303,"dalys_monetized_1","Relative_All AL disp",10
2013,888344448.433244,3315568107.58188,94857613.7222628,2332366045.42637,"dalys_monetized_1","Relative_All AL disp",10
2014,1238802936.88994,15035807103.5172,111352327.276237,13685651839.351,"dalys_monetized_1","Relative_All AL disp",10
2015,1040345833.07816,12034832080.6341,119387688.97028,10875098558.5857,"dalys_monetized_1","Relative_All AL disp",10
2016,1108776024.89415,19312662246.6961,98020185.9664466,18105866035.8355,"dalys_monetized_1","Relative_All AL disp",10
2017,1832260885.79433,22053780446.2972,94359045.5684168,20127160514.9345,"dalys_monetized_1","Relative_All AL disp",10
2018,1594313703.88986,25876328239.0659,80654851.9945019,24201359683.1816,"dalys_monetized_1","Relative_All AL disp",10
2019,1966708705.36364,27861905000.0971,84146233.3138799,25811050061.4196,"dalys_monetized_1","Relative_All AL disp",10
2020,2318321408.91584,35407567859.9332,97630142.335856,32991616308.6815,"dalys_monetized_1","Relative_All AL disp",10
2021,2832279065.53219,46250654051.3714,90669963.93291,43327705021.9063,"dalys_monetized_1","Relative_All AL disp",10
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",10
