"p","hs_costs","mon_dalys","investment_avg"
"Absolute All AL disp",753047020.767295,111082251139.173,86097965.1390907
"Absolute Coartem disp only",692757388.361452,106888064095.73,86097965.1390907
"Relative Coartem disp only",706906363.391633,11279066015.1774,86097965.1390907
"Relative_All AL disp",729127122.60574,11279066015.1774,86097965.1390907
