"code","year","distribution","treatment","dalys_averted","doses","inc_class","gdp_per_capita","daly","dalys_averted_country","dalys_monetized","doses_country","name","region","sub_region","mode_region_t","mini_t_price_region","maxi_t_price_region","mode_sub_region_t","mini_t_price_sub_region","maxi_t_price_sub_region","mode_country_t","mini_t_price_country","maxi_t_price_country","mode_region_rdt","mini_rdt_price_region","maxi_rdt_price_region","mode_sub_region_rdt","mini_rdt_price_sub_region","maxi_rdt_price_sub_region","mode_country_rdt","mini_rdt_price_country","maxi_rdt_price_country","avg_model_pred","avg_mean_sample","avg_high_95","avg_low_95","avg_sd"
"AGO",2017,0.0278180283967512,"DHA-P",6991.83859275173,11190105,"LM",6992.728834,4028.86449326658,194.499164518669,783610.777899279,311286.658652628,"Angola","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2018,0.0312431125865136,"DHA-P",1971.01829423815,3154521,"LM",7347.799936,4028.86449326658,61.5807464769605,248100.482949877,98557.0547595215,"Angola","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207613312445989,0.180208355203119,1.85024984051866,0.207613312445989,0.180208355203119,0.96886212474795,0.96886212474795,0.830453249783957,0.96886212474795,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2019,0.0334049154758958,"DHA-P",8345.55831109812,13356669,"LM",7528.382418,4028.86449326658,278.782669981393,1123177.60042609,446178.398984518,"Angola","Africa","Sub-Saharan Africa",0.288581756926539,0.243982758128801,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.288581756926539,0.288581756926539,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2020,0.0330896706214344,"DHA-P",13250.2226297125,21206350.8808067,"LM",6450.749946,4028.86449326658,438.445502477862,1766437.51716548,701711.165728458,"Angola","Africa","Sub-Saharan Africa",0.316843128211802,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.187629171858548,0.262680840601968,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2021,0.0345316078369657,"DHA-P",3811.42227135363,6100000,"LM",7408.126591,4028.86449326658,131.614539175461,530257.143681656,210642.807805491,"Angola","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179944477526086,0.179944477526086,1.00768907414608,0.179944477526086,0.179944477526086,1.00768907414608,0.563826029581735,0.563826029581735,0.563826029581735,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2022,0.0335745972736717,"DHA-P",3073.34347262261,4918740,"LM",7924.888806,4028.86449326658,103.186269376972,415723.496885522,165144.7145939,"Angola","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278107209537842,0.0355977228208438,14.7396821055056,0.278107209537842,0.0355977228208438,0.72307874479839,0.33372865144541,0.33372865144541,0.33372865144541,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2023,0.0313855786499791,"DHA-P",1137.17844817436,1820000,"LM",8040.70245,4028.86449326658,35.6910036242375,143794.217230739,57121.7531429619,"Angola","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,7.12,0.2,0.2,7.12,0.2,0.2,7.12,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"BEN",2018,0.021639580430859,"DHA-P",1971.01829423815,3154521,"L",2965.306281,4028.86449326658,42.6520089088609,171839.164259399,68262.5109003337,"Benin","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207613312445989,0.180208355203119,1.85024984051866,0.207613312445989,0.180208355203119,0.96886212474795,0.207613312445989,0.180208355203119,0.96886212474795,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BEN",2019,0.0216593617540707,"DHA-P",8345.55831109812,13356669,"LM",3148.979696,4028.86449326658,180.759466499766,728255.396402715,289296.925700382,"Benin","Africa","Sub-Saharan Africa",0.288581756926539,0.243982758128801,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BEN",2020,0.0199774857768369,"DHA-P",13250.2226297125,21206350.8808067,"LM",3244.587728,4028.86449326658,264.706134125003,1066465.14492609,423649.573099927,"Benin","Africa","Sub-Saharan Africa",0.316843128211802,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,0.312715286430914,0.250172229144731,0.312715286430914,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BEN",2021,0.0204434628826977,"DHA-P",3811.42227135363,6100000,"LM",3464.288629,4028.86449326658,77.9186697347052,313923.761856719,124705.123584456,"Benin","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179944477526086,0.179944477526086,1.00768907414608,0.179944477526086,0.179944477526086,1.00768907414608,0.359888955052171,0.359888955052171,0.359888955052171,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BEN",2022,0.0206544258893905,"DHA-P",3073.34347262261,4918740,"LM",3844.164934,4028.86449326658,63.4781449879258,255744.844440282,101593.750799181,"Benin","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278107209537842,0.0355977228208438,14.7396821055056,0.278107209537842,0.0355977228208438,0.72307874479839,0.33372865144541,0.33372865144541,0.33372865144541,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BEN",2023,0.0195046744261547,"DHA-P",1137.17844817436,1820000,"LM",4129.979415,4028.86449326658,22.1802953960807,89361.4045714338,35498.5074556016,"Benin","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,7.12,0.2,0.2,7.12,0.2,0.2,7.12,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BFA",2017,0.0299887420209267,"DHA-P",6991.83859275173,11190105,"L",2042.402953,4028.86449326658,209.676443809991,844757.979540476,335577.172032082,"Burkina Faso","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,0.240236453066313,0.240236453066313,0.305755485720763,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"BFA",2018,0.031086453317188,"DHA-P",1971.01829423815,3154521,"L",2073.323538,4028.86449326658,61.2719681911577,246856.457077914,98062.8698045891,"Burkina Faso","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207613312445989,0.180208355203119,1.85024984051866,0.207613312445989,0.180208355203119,0.96886212474795,0.24193871343706,0.235295087438788,0.24193871343706,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"BFA",2019,0.0317058495775209,"DHA-P",8345.55831109812,13356669,"L",2232.16282,4028.86449326658,264.603016452106,1066049.69779512,423484.538170736,"Burkina Faso","Africa","Sub-Saharan Africa",0.288581756926539,0.243982758128801,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,0.209877641401119,0.209877641401119,0.209877641401119,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"BFA",2020,0.03282240594826,"DHA-P",13250.2226297125,21206350.8808067,"L",2380.722828,4028.86449326658,434.904186057243,1752170.03317903,696043.457291077,"Burkina Faso","Africa","Sub-Saharan Africa",0.316843128211802,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.187629171858548,0.262680840601968,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"BFA",2021,0.0334875824850265,"DHA-P",3811.42227135363,6100000,"L",2486.430931,4028.86449326658,127.635317697222,514225.399557136,204274.253158662,"Burkina Faso","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179944477526086,0.179944477526086,1.00768907414608,0.179944477526086,0.179944477526086,1.00768907414608,0.359888955052171,0.239925970034781,0.359888955052171,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"BFA",2022,0.031853278931703,"DHA-P",3073.34347262261,4918740,"L",2641.870113,4028.86449326658,97.8960668863768,394409.987908973,156677.997212525,"Burkina Faso","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278107209537842,0.0355977228208438,14.7396821055056,0.278107209537842,0.0355977228208438,0.72307874479839,0.278107209537842,0.278107209537842,0.278107209537842,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"BFA",2023,0.030959212922797,"DHA-P",1137.17844817436,1820000,"L",2754.713465,4028.86449326658,35.2061497082459,141840.806504179,56345.7675194906,"Burkina Faso","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,7.12,0.2,0.2,7.12,0.2,0.2,7.12,4.68763080953737,4.6675981992402,14.163055480098,1.00163051485841,3.72606551527329
"CIV",2017,0.0287290775778495,"DHA-P",6991.83859275173,11190105,"LM",4690.178019,4028.86449326658,200.869073342966,809274.277386837,321481.394649281,"Cote d'Ivoire","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,0.247516345583474,0.247516345583474,0.247516345583474,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CIV",2018,0.0315943246417021,"DHA-P",1971.01829423815,3154521,"LM",4945.625206,4028.86449326658,62.272991862894,250889.445805892,99664.9605630667,"Cote d'Ivoire","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207613312445989,0.180208355203119,1.85024984051866,0.207613312445989,0.180208355203119,0.96886212474795,0.276817749927986,0.276817749927986,0.276817749927986,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CIV",2019,0.0330396694925229,"DHA-P",8345.55831109812,13356669,"LM",5516.390551,4028.86449326658,275.73448832926,1110896.88959878,441299.929281026,"Cote d'Ivoire","Africa","Sub-Saharan Africa",0.288581756926539,0.243982758128801,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,0.255788375457614,0.255788375457614,0.255788375457614,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CIV",2020,0.0325187576232317,"DHA-P",13250.2226297125,21206350.8808067,"LM",5543.850963,4028.86449326658,430.88077814948,1735960.26791751,689604.184366159,"Cote d'Ivoire","Africa","Sub-Saharan Africa",0.316843128211802,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.187629171858548,0.187629171858548,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CIV",2021,0.0326806711018642,"DHA-P",3811.42227135363,6100000,"LM",6045.204805,4028.86449326658,124.559837680428,501834.707317724,199352.093721371,"Cote d'Ivoire","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179944477526086,0.179944477526086,1.00768907414608,0.179944477526086,0.179944477526086,1.00768907414608,0.299907462543476,0.244724489435477,0.299907462543476,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CIV",2022,0.0321686851459502,"DHA-P",3073.34347262261,4918740,"LM",6707.947952,4028.86449326658,98.865418516158,398315.374271689,158229.398374791,"Cote d'Ivoire","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.278107209537842,0.0355977228208438,14.7396821055056,0.278107209537842,0.0355977228208438,0.72307874479839,0.222485767630274,0.222485767630274,0.222485767630274,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CIV",2023,0.0298050578559623,"DHA-P",1137.17844817436,1820000,"LM",7197.690104,4028.86449326658,33.8936694403903,136553.001354903,54245.2052978515,"Cote d'Ivoire","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,7.12,0.2,0.2,7.12,0.2,0.2,7.12,6.8110875010372,6.8110875010372,20.2730016207343,1.34218488991027,5.18844606696657
"CMR",2017,0.026518713417159,"DHA-P",6991.83859275173,11190105,"LM",3767.430729,4028.86449326658,185.414563900215,747010.153032085,296747.187602918,"Cameroon","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,7.43209842024942,7.65245713351827,24.1793606286821,1.58257621347629,5.96971786855614
"CMR",2018,0.0263517107295964,"DHA-P",1971.01829423815,3154521,"LM",4010.763601,4028.86449326658,51.9397039325062,209258.028964453,83127.0248824371,"Cameroon","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.207613312445989,0.180208355203119,1.85024984051866,0.207613312445989,0.180208355203119,0.96886212474795,0.484431062373975,0.442908399884777,0.484431062373975,7.43209842024942,7.65245713351827,24.1793606286821,1.58257621347629,5.96971786855614
"CMR",2019,0.0262385095900131,"DHA-P",8345.55831109812,13356669,"LM",4241.111749,4028.86449326658,218.975011779762,882220.649872112,350459.08764713,"Cameroon","Africa","Sub-Saharan Africa",0.288581756926539,0.243982758128801,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.282023080632754,0.358497246218286,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,0.314816462101678,0.314816462101678,0.314816462101678,7.43209842024942,7.65245713351827,24.1793606286821,1.58257621347629,5.96971786855614
"CMR",2020,0.0268869125951539,"DHA-P",13250.2226297125,21206350.8808067,"LM",4365.447041,4028.86449326658,356.25757771141,1435313.50529866,570173.302594414,"Cameroon","Africa","Sub-Saharan Africa",0.316843128211802,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.225155006230258,0.225155006230258,0.341860351126275,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,7.43209842024942,7.65245713351827,24.1793606286821,1.58257621347629,5.96971786855614
"CMR",2021,0.0283999717087967,"DHA-P",3811.42227135363,6100000,"LM",4793.556282,4028.86449326658,108.244284676721,436101.555133079,173239.82742366,"Cameroon","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.179944477526086,0.179944477526086,1.00768907414608,0.179944477526086,0.179944477526086,1.00768907414608,0.779759402613038,0.779759402613038,0.779759402613038,7.43209842024942,7.65245713351827,24.1793606286821,1.58257621347629,5.96971786855614
