"run_id","code","health_systems_costs","monetized_dalys_averted","dalys_averted"
1,"AFG",965238.242640993,3615718.8059306,897.453565880295
1,"AGO",1636977284.66207,13343686299.5804,3312021.61846884
1,"BEN",318789611.974935,7926255464.38368,1967367.10247535
1,"BFA",660268125.788902,14262008046.4322,3539957.24360257
1,"BGD",75827.9348944766,111639.123792078,27.7098234449582
1,"BRA",853755.763160448,1468197.95306894,364.419790122685
1,"CIV",854428097.419937,13716705998.6561,3404608.42542131
1,"CMR",887281535.421511,12111557584.8726,3006196.31291015
1,"COD",1314990165.56767,55192606044.589,13699295.703996
1,"COL",4150752.89888691,920394.953334239,228.450213421794
1,"ETH",387878510.043543,7289158339.63901,1809233.92976392
1,"GHA",812893534.209337,12895020162.1306,3200658.69271156
1,"GIN",177719174.898236,3870005539.12022,960569.794687347
1,"GUY",242137.50465629,154011.8278924,38.2271054660188
1,"HTI",88854.6110663754,196334.5394715,48.7319788986779
1,"IDN",8721749.56521997,7347957.62044583,1823.82843422171
1,"IND",489916803.221154,4166695279.94088,1034210.82712131
1,"KHM",393307.59960657,771789.788195138,191.56508973807
1,"MDG",85981193.7172849,2827178903.28353,701730.948759527
1,"MLI",697744923.167817,13851314286.9697,3438019.39978853
1,"MMR",1363020.60708376,2376622.31666862,589.898796705784
1,"MOZ",562636874.166045,16934526024.0629,4203299.97505885
1,"MWI",139164837.725772,2369434834.06672,588114.799598433
1,"NER",442947440.678883,14110557910.7145,3502365.97291803
1,"NGA",7780380792.09348,113135623953.678,28081268.0949586
1,"NIC",75956.2410538532,111059.882088738,27.5660505024062
1,"PAK",13560817.8435744,11880621.009992,2948.875801072
1,"PER",609102.69563158,357535.933535208,88.7435986325069
1,"PNG",9057727.15182606,11814649.7074444,2932.50113703009
1,"RWA",154030310.926019,3227650552.37237,801131.573863238
1,"SLB",1155420.02077336,1120108.73956263,278.020951420595
1,"TZA",709255251.835886,13761740308.3285,3415786.34161771
1,"UGA",1012517326.94395,21450438588.6285,5324189.63816689
1,"VEN",7869402.77340815,2501365.17907772,620.861084620305
1,"YEM",6641828.78110909,7610142.9128678,1888.90515568012
2,"AFG",1012491.92094138,3615718.8059306,897.453565880295
2,"AGO",1582133567.94017,13343686299.5804,3312021.61846884
2,"BEN",357997887.390601,7926255464.38368,1967367.10247535
2,"BFA",732598966.65803,14262008046.4322,3539957.24360257
2,"BGD",56566.555331135,111639.123792078,27.7098234449582
2,"BRA",775167.424410201,1468197.95306894,364.419790122685
2,"CIV",768967727.732197,13716705998.6561,3404608.42542131
2,"CMR",802628859.142016,12111557584.8726,3006196.31291015
2,"COD",1206414316.4356,55192606044.589,13699295.703996
2,"COL",5148918.83486981,920394.953334239,228.450213421794
2,"ETH",373172671.247866,7289158339.63901,1809233.92976392
2,"GHA",729318861.641317,12895020162.1306,3200658.69271156
2,"GIN",169237842.991141,3870005539.12022,960569.794687347
2,"GUY",196943.969512891,154011.8278924,38.2271054660188
2,"HTI",105954.594832134,196334.5394715,48.7319788986779
2,"IDN",13734361.6674771,7347957.62044583,1823.82843422171
2,"IND",441750100.200046,4166695279.94088,1034210.82712131
2,"KHM",417462.469966035,771789.788195138,191.56508973807
2,"MDG",60314195.64762,2827178903.28353,701730.948759527
2,"MLI",653636158.234535,13851314286.9697,3438019.39978853
2,"MMR",1361679.13602418,2376622.31666862,589.898796705784
2,"MOZ",593157180.134801,16934526024.0629,4203299.97505885
2,"MWI",125750729.645635,2369434834.06672,588114.799598433
2,"NER",420251253.184623,14110557910.7145,3502365.97291803
2,"NGA",9333767680.99247,113135623953.678,28081268.0949586
2,"NIC",166070.315023698,111059.882088738,27.5660505024062
2,"PAK",15522600.6159186,11880621.009992,2948.875801072
2,"PER",961093.754620576,357535.933535208,88.7435986325069
2,"PNG",8936087.21853478,11814649.7074444,2932.50113703009
2,"RWA",138006747.960634,3227650552.37237,801131.573863238
2,"SLB",979087.375324358,1120108.73956263,278.020951420595
2,"TZA",745027166.732322,13761740308.3285,3415786.34161771
2,"UGA",1056402231.76822,21450438588.6285,5324189.63816689
2,"VEN",8086787.38664629,2501365.17907772,620.861084620305
2,"YEM",5726195.07006086,7610142.9128678,1888.90515568012
3,"AFG",972750.904221256,3615718.8059306,897.453565880295
3,"AGO",1657553806.94317,13343686299.5804,3312021.61846884
3,"BEN",339485645.8379,7926255464.38368,1967367.10247535
3,"BFA",733853537.065556,14262008046.4322,3539957.24360257
3,"BGD",68084.381071478,111639.123792078,27.7098234449582
3,"BRA",784490.082541402,1468197.95306894,364.419790122685
3,"CIV",757613212.148643,13716705998.6561,3404608.42542131
3,"CMR",898341689.695407,12111557584.8726,3006196.31291015
3,"COD",1255287323.5491,55192606044.589,13699295.703996
3,"COL",3969174.59855577,920394.953334239,228.450213421794
3,"ETH",439528836.569442,7289158339.63901,1809233.92976392
3,"GHA",762703326.613814,12895020162.1306,3200658.69271156
3,"GIN",177772462.216047,3870005539.12022,960569.794687347
3,"GUY",126337.338250348,154011.8278924,38.2271054660188
3,"HTI",103645.347302007,196334.5394715,48.7319788986779
3,"IDN",9984868.87712387,7347957.62044583,1823.82843422171
3,"IND",458176925.345075,4166695279.94088,1034210.82712131
3,"KHM",247761.343728113,771789.788195138,191.56508973807
3,"MDG",96238623.3638717,2827178903.28353,701730.948759527
3,"MLI",624945870.672623,13851314286.9697,3438019.39978853
3,"MMR",958302.77570463,2376622.31666862,589.898796705784
3,"MOZ",606871474.638811,16934526024.0629,4203299.97505885
3,"MWI",131602888.776599,2369434834.06672,588114.799598433
3,"NER",374251446.525858,14110557910.7145,3502365.97291803
3,"NGA",8197417507.73889,113135623953.678,28081268.0949586
3,"NIC",116245.843353866,111059.882088738,27.5660505024062
3,"PAK",21277173.8331774,11880621.009992,2948.875801072
3,"PER",755879.136576134,357535.933535208,88.7435986325069
3,"PNG",8820674.35814903,11814649.7074444,2932.50113703009
3,"RWA",129819571.542458,3227650552.37237,801131.573863238
3,"SLB",913070.860183385,1120108.73956263,278.020951420595
3,"TZA",623679391.512945,13761740308.3285,3415786.34161771
3,"UGA",1105151120.64042,21450438588.6285,5324189.63816689
3,"VEN",6153412.00821814,2501365.17907772,620.861084620305
3,"YEM",5788770.08210907,7610142.9128678,1888.90515568012
4,"AFG",1062255.4274369,3615718.8059306,897.453565880295
4,"AGO",1739571089.85669,13343686299.5804,3312021.61846884
4,"BEN",293739957.255425,7926255464.38368,1967367.10247535
4,"BFA",597782836.084282,14262008046.4322,3539957.24360257
4,"BGD",63012.2744778951,111639.123792078,27.7098234449582
4,"BRA",1019055.90368441,1468197.95306894,364.419790122685
4,"CIV",951608998.512548,13716705998.6561,3404608.42542131
4,"CMR",999446544.450282,12111557584.8726,3006196.31291015
4,"COD",1234558579.94376,55192606044.589,13699295.703996
4,"COL",3419021.3749308,920394.953334239,228.450213421794
4,"ETH",359861311.00956,7289158339.63901,1809233.92976392
4,"GHA",773395710.398328,12895020162.1306,3200658.69271156
4,"GIN",193417618.56152,3870005539.12022,960569.794687347
4,"GUY",150237.077151328,154011.8278924,38.2271054660188
4,"HTI",104073.82222269,196334.5394715,48.7319788986779
4,"IDN",10585093.9594572,7347957.62044583,1823.82843422171
4,"IND",479401371.14662,4166695279.94088,1034210.82712131
4,"KHM",355074.76620703,771789.788195138,191.56508973807
4,"MDG",81379578.7760874,2827178903.28353,701730.948759527
4,"MLI",594407606.888559,13851314286.9697,3438019.39978853
4,"MMR",2102822.924765,2376622.31666862,589.898796705784
4,"MOZ",550651804.333377,16934526024.0629,4203299.97505885
4,"MWI",122342359.987018,2369434834.06672,588114.799598433
4,"NER",464974513.134576,14110557910.7145,3502365.97291803
4,"NGA",6130931583.66476,113135623953.678,28081268.0949586
4,"NIC",74308.625479603,111059.882088738,27.5660505024062
4,"PAK",12496590.215396,11880621.009992,2948.875801072
4,"PER",813597.670062266,357535.933535208,88.7435986325069
4,"PNG",9552298.24977189,11814649.7074444,2932.50113703009
4,"RWA",141780566.582078,3227650552.37237,801131.573863238
4,"SLB",884375.179036954,1120108.73956263,278.020951420595
4,"TZA",764020301.760346,13761740308.3285,3415786.34161771
4,"UGA",989237790.047053,21450438588.6285,5324189.63816689
4,"VEN",4711843.17308298,2501365.17907772,620.861084620305
4,"YEM",7430704.82387396,7610142.9128678,1888.90515568012
5,"AFG",987567.63770431,3615718.8059306,897.453565880295
5,"AGO",1411831337.25274,13343686299.5804,3312021.61846884
5,"BEN",373445054.812404,7926255464.38368,1967367.10247535
5,"BFA",645526438.502518,14262008046.4322,3539957.24360257
5,"BGD",60346.9944273523,111639.123792078,27.7098234449582
5,"BRA",1096313.83860175,1468197.95306894,364.419790122685
5,"CIV",834531296.509542,13716705998.6561,3404608.42542131
5,"CMR",802003679.578681,12111557584.8726,3006196.31291015
5,"COD",1169507157.64014,55192606044.589,13699295.703996
5,"COL",3548074.32790834,920394.953334239,228.450213421794
5,"ETH",386028594.977144,7289158339.63901,1809233.92976392
5,"GHA",703275263.155654,12895020162.1306,3200658.69271156
5,"GIN",217284139.735084,3870005539.12022,960569.794687347
5,"GUY",247618.897871431,154011.8278924,38.2271054660188
5,"HTI",104205.265592358,196334.5394715,48.7319788986779
5,"IDN",13325616.9089969,7347957.62044583,1823.82843422171
5,"IND",470866962.779543,4166695279.94088,1034210.82712131
5,"KHM",346092.99512702,771789.788195138,191.56508973807
5,"MDG",66251153.0152416,2827178903.28353,701730.948759527
5,"MLI",535945630.766136,13851314286.9697,3438019.39978853
5,"MMR",1444624.26740232,2376622.31666862,589.898796705784
5,"MOZ",593857301.873981,16934526024.0629,4203299.97505885
5,"MWI",131003819.868287,2369434834.06672,588114.799598433
5,"NER",388041590.401297,14110557910.7145,3502365.97291803
5,"NGA",8537037641.78777,113135623953.678,28081268.0949586
5,"NIC",120754.890706794,111059.882088738,27.5660505024062
5,"PAK",15911510.3911741,11880621.009992,2948.875801072
5,"PER",767614.026820768,357535.933535208,88.7435986325069
