"country","year","region","sub_region","distribution","treatment","dalys_averted","doses","daly","dalys_averted_country","dalys_monetized_1","doses_country","mode_sub_region_t","mini_t_price_sub_region","maxi_t_price_sub_region","mode_region_t","mini_t_price_region","maxi_t_price_region","mode_country_t","mini_t_price_country","maxi_t_price_country","mode_global_t","mini_t_price_global","maxi_t_price_global","n_t_cost","n_rdt","mode_country_rdt","mini_rdt_price_country","maxi_rdt_price_country","mode_sub_region_rdt","mini_rdt_price_sub_region","maxi_rdt_price_sub_region","mode_region_rdt","mini_rdt_price_region","maxi_rdt_price_region","mode_global_rdt","mini_rdt_price_global","maxi_rdt_price_global","average_model_prediction","average_mean_value_from_sample","average_high_95_unc_interval","average_low_95_unc_interval","average_sd","mode_country_rdt_imputed","mini_rdt_price_country_imputed","maxi_rdt_price_country_imputed","mode_country_t_imputed","mini_t_price_country_imputed","maxi_t_price_country_imputed"
"Afghanistan",2020,"Asia","Southern Asia",0.0287430613296201,"AS-PYR",234097.174106481,1150000,2100,6728.66943243334,14130205.80811,33054.5205290631,NA,NA,NA,0.25528116774996,0.25528116774996,0.25528116774996,0.25528116774996,0.25528116774996,0.25528116774996,NA,NA,NA,NA,5,0.359709263232,0.359709263232,0.4957243283916,0.3068769651948,0.24100520636544,0.4957243283916,0.37274872402416,0.24100520636544,0.8857840607088,0.16861371714,0.0089927315808,0.8857840607088,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.359709263232,0.359709263232,0.4957243283916,0.25528116774996,0.25528116774996,0.25528116774996
"Afghanistan",2011,"Asia","Southern Asia",0.0142427501697503,"AS-PYR",0,0,1750,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18677378863064,0.824549788796419,1.46196771063195,NA,NA,NA,1.18677378863064,0.824549788796419,1.46196771063195,1.7887604930085,0.564147540102682,2.93821110596772,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,1.18677378863064,0.824549788796419,1.46196771063195,NA,NA,NA
"Afghanistan",2015,"Asia","Southern Asia",0.0219216754997899,"AS-PYR",0,0,2150,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.00894185574668,1.00894185574668,1.00894185574668,0.421916025542241,0.337532820433793,1.00894185574668,0.576618568241062,0.309405085397643,2.1095801277112,0.267213482843419,0.236554251654016,2.1095801277112,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,1.00894185574668,1.00894185574668,1.00894185574668,NA,NA,NA
"Afghanistan",2021,"Asia","Southern Asia",0.0214534170455366,"AS-PYR",122137.656055556,600000,1690,2620.27007232414,4428256.42222779,12872.0502273219,NA,NA,NA,0.244906911,0.244906911,0.244906911,0.244906911,0.244906911,0.244906911,NA,NA,NA,NA,NA,0.3558753,0.2480343,0.7009665,NA,NA,NA,0.3558753,0.2480343,0.7009665,0.1617615,0.1617615,0.9058644,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.3558753,0.2480343,0.7009665,0.244906911,0.244906911,0.244906911
"Afghanistan",2018,"Asia","Southern Asia",0.051576276020272,"AS-PYR",10178.1380046296,50000,2130,524.950455099198,1118144.46936129,2578.8138010136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.570854865574237,0.570854865574237,0.570854865574237,0.298356201519636,0.261061676329682,0.745890503799091,0.4102397770895,0.261061676329682,1.30928646433534,0.472397319072757,0.161858239324403,1.66184404246437,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.570854865574237,0.570854865574237,0.570854865574237,NA,NA,NA
"Afghanistan",2019,"Asia","Southern Asia",0.0391877776744725,"AS-PYR",118066.400853704,580000,2200,4626.75986748008,10178871.7084562,22728.911051194,NA,NA,NA,0.268261843055776,0.268261843055776,0.268261843055776,0.268261843055776,0.268261843055776,0.268261843055776,NA,NA,NA,NA,3,0.412529196263276,0.412529196263276,0.590506078079718,0.247517517757966,0.247517517757966,0.590506078079718,0.447888841657271,0.247517517757966,1.28190501101697,0.447888841657271,0.00942923877173203,1.28190501101697,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.412529196263276,0.412529196263276,0.590506078079718,0.268261843055776,0.268261843055776,0.268261843055776
"Afghanistan",2016,"Asia","Southern Asia",0.040374898086016,"AS-PYR",0,0,2040,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.626376338641931,0.626376338641931,0.626376338641931,0.626376338641931,0.192059643904146,0.818435982546077,0.463780390109443,0.192059643904146,1.43226296945563,0.463780390109443,0.192059643904146,1.43226296945563,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.626376338641931,0.626376338641931,0.626376338641931,NA,NA,NA
"Afghanistan",2012,"Asia","Southern Asia",0.00980653587730037,"AS-PYR",0,0,1960,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.19722274879092,1.19722274879092,1.19722274879092,1.13266106791951,0.485426171965505,1.55870343818124,1.03557583352641,0.477659353214057,2.31337932686361,1.03557583352641,0.0118120368511606,2.91255703179303,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,1.19722274879092,1.19722274879092,1.19722274879092,NA,NA,NA
"Afghanistan",2013,"Asia","Southern Asia",0.01584441273303,"AS-PYR",0,0,2070,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615458760166604,0.538526415145779,1.19398999472321,NA,NA,NA,0.615458760166604,0.538526415145779,1.19398999472321,0.538526415145779,0.153864690041651,1.78329175758274,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.615458760166604,0.538526415145779,1.19398999472321,NA,NA,NA
"Afghanistan",2017,"Asia","Southern Asia",0.0531712097232101,"AS-PYR",0,0,2120,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.638502276035333,0.600328102283835,0.638502276035333,0.286959970494995,0.286959970494995,0.784400830510238,0.549080581357166,0.286959970494995,1.50604959457966,0.228783575565486,0.0117660124576536,1.50604959457966,2.17788607468796,2.10588984081398,6.40766481478442,0.431977403243893,1.56591808675911,0.638502276035333,0.600328102283835,0.638502276035333,NA,NA,NA
