code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17381.22527,17835.83046,18253.96976,19216.30665,20170.78476,21038.66679,22132.1929,23124.96391,24378.24531,25485.39145,26541.66532,27645.81403,29032.49096,30121.81842,31763.79609,33036.58348,34846.71563,36653.84172,37532.99904,40312.39512,39372.8511,42022.73922,42863.34832,45930.85051,46903.7703,46263.73139,47260.15299,48371.141,50183.68981,52673.06382,53984.1247,58145.55136,65834.78489,70340.21716
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19382.96647,20522.18551,21194.7574,21632.31867,22538.07427,23588.4563,24417.6643,25294.72389,26529.18157,27500.08495,29214.73865,29556.40356,30952.17082,31962.92553,33523.0205,34776.66995,37396.0351,39193.81736,41046.79004,40665.50466,41740.11492,44171.56187,46156.48321,47519.85228,48355.49776,49562.59393,52397.86352,53869.83212,56636.4953,60354.92794,58523.03378,62912.17411,70675.51466,70296.66076
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5253.928344,5322.301562,4150.12686,3217.945875,2603.834386,2317.792799,2366.839809,2522.84373,2779.806987,3001.305343,3382.083087,3771.270579,4160.216167,4640.134373,5160.472625,6741.200965,9244.406455,11734.76419,12972.44271,13972.73091,14680.87414,14804.57445,15994.14665,17267.51189,17563.61225,15075.27263,14535.80202,14315.92964,15282.99952,16675.31794,15163.57033,20111.3757,22552.11494,23597.83786
BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.1641844,635.9966695,639.7262169,633.6631993,618.3740883,547.5608126,512.6244636,513.2123491,533.3456921,522.7524758,519.1150604,528.3111615,544.7944965,531.6874053,551.4323526,552.9177673,579.5713213,593.4637559,608.6704383,604.3678509,613.649849,628.667678,638.8731816,687.3659201,724.3603575,797.4262344,771.9874337,761.2692572,753.4555161,779.1979907,786.5158307,836.6655713,888.5181584,919.9066462
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18675.31219,19587.85535,20258.54745,20459.18915,21504.01177,22431.45936,22736.75807,23727.89752,24368.75741,25440.84119,27788.09088,28796.57958,30282.28865,30934.58265,32063.98269,33177.89095,35258.98506,36799.53187,37883.33194,37885.90591,39844.40544,41244.8495,42483.52507,43864.12042,45147.64295,46084.24246,48414.55181,50256.06318,52466.73308,56712.46957,56120.09584,60611.52714,68080.35189,68894.3912
BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186.116069,1239.224997,1265.252419,1311.344493,1316.244325,1395.266444,1443.967713,1507.924154,1537.143826,1592.137821,1671.357252,1745.982562,1799.882696,1841.602973,1915.346443,1945.564141,2020.605677,2135.537879,2215.351639,2213.328956,2220.328546,2264.841869,2346.084162,2511.653096,2670.415614,2725.337248,2842.024626,2885.89384,2965.306281,3148.979696,3244.587728,3464.288629,3844.164934,4129.979415
BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.9441473,623.2680017,623.3849953,644.0354644,649.8424076,683.6391516,753.3091667,793.9708414,838.0793553,886.4340906,896.4774815,947.9193746,973.9839334,1037.837994,1079.000091,1171.764323,1244.002438,1290.49951,1351.360416,1359.692249,1449.422164,1531.343382,1571.838845,1642.892131,1661.317738,1691.579354,1881.758931,2042.402953,2073.323538,2232.16282,2380.722828,2486.430931,2641.870113,2754.713465
BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.6544708,987.3131995,1044.891886,1099.385888,1145.110166,1206.366467,1260.754895,1315.469233,1372.953839,1429.986452,1511.905006,1597.587406,1658.802309,1746.127258,1861.512563,2019.738396,2195.294855,2388.100252,2554.857882,2675.259459,2833.695444,3051.269833,3434.278151,3691.104311,3972.506477,4212.235781,4579.132287,4882.606926,5490.158819,6047.124015,6640.584373,7441.06914,8450.549025,9147.777507
BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7545.585203,7213.04783,6914.765041,7029.738725,7335.235046,7737.756817,6846.442883,5749.364608,6177.635605,5807.813191,6422.789329,6961.039968,7786.421745,8417.470733,9201.739738,10291.44588,11408.04952,12822.31305,14346.87588,14180.72807,14955.91578,15747.42016,16327.28774,16649.40086,17616.34857,18390.96423,20065.68841,21457.92497,22977.77905,25434.84887,25863.34415,29278.79498,34826.64672,37410.78004
BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26902.06114,31657.36419,33648.2271,37869.50487,37579.16884,38839.4364,40105.84749,40965.34574,42281.2949,43560.53772,45687.522,46161.57582,45091.48939,45426.93486,46317.02825,47268.27214,48009.49199,49347.49449,50330.32465,48625.65683,49254.57701,52677.45112,56712.56927,56310.31175,54299.05646,48034.24689,47428.90189,50184.50058,51993.13078,56599.52144,53436.0317,54954.67579,61562.14148,63497.61694
